id;benutzer;kategorie;prio;sachbearbeiter;datum;titel
57;supporter5;Windows;2;supporter12;26.08.2011 08:23;PC Zimmer 107: Profile readonly, falsche Tastatur
58;patrick.schlaepfer;Lokales Netzwerk;1;supporter2;29.08.2011 11:06;VNP
59;benutzer215;Lokales Netzwerk;2;patrick.schlaepfer;30.08.2011 07:34;Probleme mit Netzwerk
60;supporter12;Lokales Netzwerk;1;supporter12;30.08.2011 07:34;Dosen patchen
61;benutzer202;Personalcomputer;2;supporter12;30.08.2011 08:35;Beamer im Zi 112
63;supporter2;PC-Programm;2;supporter2;30.08.2011 16:38;Clean&Copy
64;supporter12;Personalcomputer;2;supporter12;31.08.2011 06:43;Informatikzimmer testen
65;supporter12;Windows;2;supporter12;31.08.2011 06:44;Notebook Sekretariat
66;benutzer186;Anderes Tool;2;supporter2;31.08.2011 08:03;Vision & Clean and Copy PC Zi 502
67;supporter14;Mail;2;bruno.peyer;31.08.2011 11:26;Kommunikation BSCW / Mail
68;supporter14;Personalcomputer;3;supporter12;31.08.2011 11:28;Geschwindigkeit im Zi006
69;benutzer139;Personalcomputer;2;supporter12;31.08.2011 13:59;Z008, PC19
70;benutzer139;Personalcomputer;1;supporter12;31.08.2011 15:01;Z008, PC19
71;benutzer116;Drucker;3;supporter12;31.08.2011 16:47;Drucker GISO-015 Werkstattgebäude
72;benutzer55;Internet;3;bruno.peyer;01.09.2011 08:28;Abrufen Emails Outlook Internet
73;benutzer73;PC-Programm;1;bruno.peyer;01.09.2011 09:15;Clean&Copy
74;benutzer70;Mail;2;supporter12;01.09.2011 10:39;webmail
75;supporter12;Personalcomputer;2;supporter12;01.09.2011 15:03;Tastaturlayout
76;supporter2;Drucker;1;supporter2;01.09.2011 16:40;Ricoh Drucker 
77;supporter2;Internet;3;supporter2;01.09.2011 16:47;Internetausfall im BBZ Grenchen
78;benutzer211;Lokales Netzwerk;2;supporter2;02.09.2011 09:32;Zimmer 401
79;benutzer73;Personalcomputer;3;supporter2;02.09.2011 09:41;Bildschirmanzeige
80;supporter2;Notenool;3;supporter5;02.09.2011 10:38;Regula Born hat kein Zugriff auf Tools
81;supporter12;Personalcomputer;2;supporter12;05.09.2011 07:30;PC Zimmer 305
82;supporter12;Lokales Netzwerk;3;supporter12;05.09.2011 07:38;Kein Netzwerk im SH2
83;benutzer111;Drucker;3;supporter2;05.09.2011 08:16;Drucker 204
84;benutzer83;Drucker;2;supporter12;05.09.2011 10:10;Farbdrucker SH2
85;supporter12;Personalcomputer;2;supporter12;05.09.2011 10:52;ZI 006
86;supporter12;Windows;2;supporter12;06.09.2011 14:38;Umstellung auf W7
87;benutzer186;PC-Programm;1;supporter2;07.09.2011 08:22;PC Zi 502 - Druckerprobleme
88;benutzer186;PC-Programm;2;supporter2;07.09.2011 09:00;PC Zi 502 - KBS50202
89;supporter12;Lokales Netzwerk;1;supporter12;07.09.2011 10:37;SH 2
90;benutzer73;Personalcomputer;1;supporter2;07.09.2011 13:00;PC lässt sich nicht mehr starten
91;supporter15;Helpdesktool;2;supporter2;08.09.2011 09:11;EBZ, CallSys Instruktion
93;supporter15;Lokales Netzwerk;3;supporter2;08.09.2011 09:24;EBZ, Kurs am Samstag, 10.9.11
94;bruno.peyer;Mail;1;bruno.peyer;08.09.2011 10:08;SPAM Eric Schenk
95;supporter2;Lokales Netzwerk;2;supporter2;08.09.2011 16:55;Clients Sekretariat KBSO
96;supporter2;Lokales Netzwerk;3;supporter2;08.09.2011 16:57;Umstellung BBZ GR - Image Informatikzimmer
97;benutzer202;Personalcomputer;3;supporter12;09.09.2011 07:45;Beamer Zimmer 112
98;supporter2;Personalcomputer;2;supporter12;12.09.2011 11:07;PC ersetzen Zimmer P04
99;benutzer148;Drucker;2;supporter12;12.09.2011 14:52;Druckerverbindungen Pavillon
100;supporter12;Lokales Netzwerk;1;bruno.peyer;12.09.2011 15:58;Laufwerke der SH2 Lehrer
101;benutzer154;Personalcomputer;3;supporter12;13.09.2011 11:38;Lehrerstation Zimmer 011
102;benutzer73;PC-Programm;3;bruno.peyer;13.09.2011 12:21;Aktivierungsmeldung Office-Programme KBS Grenchen
103;benutzer172;Windows;1;supporter2;14.09.2011 09:42;Zi 012 PC11
104;supporter3;PC-Programm;2;supporter2;14.09.2011 11:18;Outlook EBZ
106;supporter3;PC-Programm;2;supporter2;14.09.2011 12:05;Kontakte in Outlook EBZ wieder herstellen
107;benutzer189;Personalcomputer;1;supporter2;14.09.2011 13:14;Abstürze
108;supporter2;Internet;2;supporter2;14.09.2011 13:14;VPN im BBZ Grenchen
109;supporter2;Internet;2;supporter2;14.09.2011 13:16;Zugriff auf Gebäudesteuerung Hauswarte von Aussen
110;supporter2;PC-Programm;2;supporter2;14.09.2011 13:19;ABU Maurer LernCD
112;benutzer14;PC-Programm;2;supporter2;14.09.2011 13:52;Browserfehler_Outlook EBZ
113;benutzer14;PC-Programm;2;supporter2;14.09.2011 13:55;Outlook EBZ Anna
115;benutzer180;Drucker;2;supporter12;14.09.2011 17:23;Drucker Giso P14 P1
117;supporter15;PC-Programm;3;supporter2;15.09.2011 14:38;WW 2003 / 2010
120;supporter15;Internet;2;supporter2;15.09.2011 15:43;IP-Adressierung der Schulen im BBZ
121;supporter2;Drucker;3;supporter2;15.09.2011 16:37;BBZ GR_Installation neues Kopiergerät
122;supporter2;Drucker;1;supporter2;15.09.2011 16:38;ZZ Grenchen_Kopiergerät ans Netz
123;supporter12;Personalcomputer;2;supporter12;16.09.2011 07:09;GISO_P03_14
124;benutzer131;Anderes Tool;1;supporter5;16.09.2011 10:35;Schüleraccounts
125;supporter12;Drucker;2;supporter7;16.09.2011 10:52;Drucker GISO_P14_P1
126;supporter2;Personalcomputer;2;supporter2;16.09.2011 11:46;Client ZZWerkstatt_startet mit Netcim
127;supporter12;Notebook;1;supporter12;16.09.2011 13:30;Notebooks umbenennen
128;benutzer14;Lokales Netzwerk;3;supporter2;16.09.2011 14:46;SIZ Prüfungsdateien verteilen, Zimmerkontrolle
129;supporter12;Personalcomputer;2;supporter12;16.09.2011 17:04;Stundenplaner PC
130;supporter2;PC-Programm;1;supporter2;19.09.2011 15:04;PDF drucken nicht möglich
131;benutzer186;Internet;2;supporter2;20.09.2011 08:19;PC Zi 502 - PC Nr. 50220
132;benutzer73;Drucker;3;supporter2;20.09.2011 10:40;Leere Druckerpatrone
133;supporter15;PC-Programm;2;bruno.peyer;20.09.2011 14:32;Laptop Direktor
134;supporter15;PC-Programm;2;bruno.peyer;20.09.2011 14:36;Callsys in der BBZ-Leitung vorstellen
135;supporter12;Personalcomputer;3;supporter12;20.09.2011 16:10;GISO_201_01
136;benutzer73;Personalcomputer;2;supporter2;21.09.2011 08:02;Defekte Maus
137;benutzer14;PC-Programm;2;supporter2;21.09.2011 09:21;Outlook EBZ
139;supporter12;Notebook;1;supporter12;21.09.2011 14:03;GISO_P14_M3
140;bruno.peyer;Anderes Tool;1;supporter5;22.09.2011 09:20;Schüleraccounts GIGR
141;benutzer128;Notenool;3;supporter5;22.09.2011 10:43;Klasse DHA11a
142;supporter12;Personalcomputer;1;supporter12;22.09.2011 18:26;GISO_310_01
143;supporter12;Lokales Netzwerk;3;bruno.peyer;22.09.2011 18:29;KIein Netzwerk im Zimmer P12
144;benutzer95;Personalcomputer;3;supporter12;23.09.2011 10:58;videosplitter
145;benutzer180;PC-Programm;3;bruno.peyer;23.09.2011 12:57;Beamer geht nicht 
148;supporter12;PC-Programm;1;patrick.schlaepfer;23.09.2011 14:41;W7 Image LZ VBZ
149;benutzer91;Windows;1;bruno.peyer;23.09.2011 15:08;PCs im CIS starten langsam
150;benutzer172;PC-Programm;1;supporter12;26.09.2011 09:46;SolidEdge
151;benutzer154;Lokales Netzwerk;2;supporter2;26.09.2011 11:35;Stundenpläne auf EDU-GIBS
153;bruno.peyer;Helpdesktool;2;supporter5;26.09.2011 18:28;Zugang für Benutzer aus Grenchen
154;supporter12;Drucker;1;supporter12;27.09.2011 06:37;P10
155;benutzer83;Windows;1;supporter12;27.09.2011 11:09;PC mit Störungen
156;benutzer218;Windows;1;supporter12;27.09.2011 11:41;Partition zu klein für Installation von Software
157;supporter16;Notenool;3;supporter5;27.09.2011 14:56;Regula Born hat keinen Zugriff
158;benutzer131;Lokales Netzwerk;2;bruno.peyer;28.09.2011 07:16;VPN einrichten auf meinem Notebook
159;benutzer131;Personalcomputer;1;supporter12;28.09.2011 07:28;Wunsch nach mehr Übersicht
160;benutzer31;Drucker;3;supporter2;28.09.2011 11:26;Staumeldungen non-stop
161;benutzer180;PC-Programm;2;supporter12;28.09.2011 11:29;2 PCs Pavillon
164;benutzer172;Helpdesktool;1;supporter5;29.09.2011 10:40;Anregung
165;supporter12;Personalcomputer;1;patrick.schlaepfer;03.10.2011 07:49;GISO_016_02 deployen
166;supporter12;PC-Programm;1;supporter12;03.10.2011 07:52;Smartboard U9, U11 und P12
167;supporter12;Personalcomputer;3;supporter12;03.10.2011 08:28;Ausfall PC 310
168;supporter3;PC-Programm;2;supporter2;06.10.2011 13:34;FTP Server_Schnittstelle Millenium-SAP
169;supporter15;Mail;3;supporter10;10.10.2011 10:18;Wechsel der DNS-Namen der SPAM Filter
170;benutzer143;PC-Programm;1;patrick.schlaepfer;17.10.2011 10:46;PC Zimmer P11
171;benutzer215;Lokales Netzwerk;3;bruno.peyer;17.10.2011 14:18;Schulhaus 2
172;benutzer14;PC-Programm;2;supporter2;18.10.2011 11:31;Outlook EBZ Posteingang
173;benutzer14;PC-Programm;2;supporter2;20.10.2011 15:43;Photoshop CS4
175;supporter5;Absenztool;2;supporter5;24.10.2011 14:21;Absenzen von ELT-Schülern in PKE-Klassen
176;benutzer91;Drucker;2;supporter12;25.10.2011 09:49;Schwarz-Weiss Drucker
177;benutzer61;Drucker;2;supporter12;25.10.2011 16:01;Druckerinstallation
178;patrick.schlaepfer;Helpdesktool;1;patrick.schlaepfer;25.10.2011 16:16;Kompatiblität mit dem Internetexplorer
179;benutzer73;PC-Programm;3;supporter2;25.10.2011 19:58;Fehlermeldung und defekte Mäuse
180;benutzer131;Lokales Netzwerk;2;bruno.peyer;27.10.2011 16:43;Laufwerk Schulleitung
181;benutzer111;Lokales Netzwerk;3;supporter2;28.10.2011 10:08;Zimmer 311
182;benutzer186;PC-Programm;3;supporter2;31.10.2011 08:14;Word - Druckerprobleme 
183;benutzer59;PC-Programm;1;supporter12;03.11.2011 13:16;Zimmer 211
184;benutzer67;Personalcomputer;2;supporter12;04.11.2011 09:23;"\Fuss\"" an Tastatur abgebrochen."""
185;benutzer67;Notebook;3;supporter12;04.11.2011 09:28;"\Abstürze\"" meines Notebooks"""
186;supporter2;Personenverwaltung;3;supporter5;04.11.2011 11:29;Generierte Schüleraccounts, Klassen
187;supporter12;PC-Programm;2;patrick.schlaepfer;08.11.2011 09:17;Smartboard SW für W7
188;supporter15;Mail;3;bruno.peyer;08.11.2011 18:53;Accounts erstellen im OWA
189;benutzer131;Personalcomputer;2;supporter12;10.11.2011 10:25;Zimmer 006
190;benutzer128;Notenool;3;supporter5;15.11.2011 07:19;Klasse BA11B
191;benutzer128;Notenool;3;supporter5;15.11.2011 07:20;Freifächer Büroassistenten und allgemein
192;benutzer154;PC-Programm;2;supporter12;16.11.2011 10:58;Zi 310, Lehrer-PC
193;benutzer9;PC-Programm;3;supporter12;17.11.2011 10:22;Grafikkarte Zi 310
194;benutzer73;Personalcomputer;3;supporter2;17.11.2011 11:58;PC lässt sich nicht mehr starten
195;supporter12;Personalcomputer;2;supporter12;21.11.2011 07:25;Smartboard U11
196;supporter12;Personalcomputer;2;supporter12;21.11.2011 07:26;Smartboard P12
197;benutzer73;Personalcomputer;3;supporter2;22.11.2011 09:47;Fehlermeldungen, Anmeldedauer
199;benutzer111;PC-Programm;2;bruno.peyer;22.11.2011 16:01;Profil von Karin Flück
200;benutzer186;PC-Programm;1;supporter2;23.11.2011 09:07;PC-Start und Anwendungsprogramme
201;benutzer219;Personalcomputer;2;supporter7;24.11.2011 15:14;PC 3 Pavillon
202;supporter15;Personalcomputer;1;supporter2;28.11.2011 08:46;PC Vorbereitungszimmer 208, BBZ Grenchen
203;benutzer141;PC-Programm;3;supporter12;28.11.2011 14:58;PC Raum Pavillon
204;benutzer107;Personalcomputer;1;supporter2;28.11.2011 16:14;Zimmer 401
205;supporter12;Personalcomputer;1;supporter12;29.11.2011 08:57;Lehrstellenkonferenz
207;benutzer180;PC-Programm;2;supporter12;29.11.2011 16:34;PC Pavillon
208;benutzer60;Personalcomputer;3;supporter12;01.12.2011 13:38;ständige Updates und Restarts
209;benutzer131;Drucker;2;supporter12;06.12.2011 08:22;permanenter Stau im Drucker
210;benutzer139;Windows;1;supporter12;07.12.2011 14:57;Sound Shuttle-PCs 107
211;benutzer172;Personalcomputer;2;supporter12;08.12.2011 10:41;PC23 Zi 012
212;benutzer172;PC-Programm;2;supporter12;08.12.2011 10:42;Hardwareunterstützung
213;benutzer73;Personalcomputer;3;supporter2;09.12.2011 11:49;PC lässt sich nicht starten
214;benutzer206;PC-Programm;1;supporter2;12.12.2011 09:01;Drucker 319 / Monatskalender
215;benutzer54;Internet;2;bruno.peyer;12.12.2011 15:10;Zugriff auf BSCW
216;supporter16;Lokales Netzwerk;3;supporter2;13.12.2011 09:13;Beamer Zimmer 501 Rosengarten
217;supporter12;Anderes Tool;1;supporter12;13.12.2011 09:28;Inventar
218;benutzer180;PC-Programm;2;supporter12;13.12.2011 16:48;Maus funktioniert nicht mehr. Pavillon
219;supporter14;Personalcomputer;2;supporter12;15.12.2011 13:50;PC im Zi006
220;benutzer215;PC-Programm;1;bruno.peyer;21.12.2011 13:17;2. Mail Adresse löschen
221;benutzer215;Windows;1;bruno.peyer;21.12.2011 13:24;Zugriff von Grenchen auf mein Laufwerk im Schulhaus 2
222;supporter12;Personalcomputer;1;supporter12;22.12.2011 15:18;Austausch Beamer ZI 531
223;supporter12;Drucker;1;supporter12;22.12.2011 15:20;Drucker Vorbereitungszimmer West
224;benutzer73;Personalcomputer;3;supporter2;10.01.2012 12:22;Lautsprecher PC-Zimmer 311 in Grenchen
225;supporter3;Anderes Tool;2;supporter2;11.01.2012 17:03;FTP-Server für Rechnungen
226;benutzer206;Drucker;3;supporter2;12.01.2012 10:49;Drucker 318
227;supporter14;Drucker;3;patrick.schlaepfer;12.01.2012 13:30;Drucker Zi006
228;benutzer131;Internet;3;bruno.peyer;13.01.2012 08:44;W-Lan: kein Zugang
229;benutzer111;PC-Programm;2;supporter2;13.01.2012 09:53;Zimmer 311
230;benutzer186;PC-Programm;2;supporter2;13.01.2012 11:20;PC-Zi 502
231;benutzer111;PC-Programm;3;supporter2;16.01.2012 17:13;Outlook im Zimmer 311 Grenchen
232;patrick.schlaepfer;PC-Programm;2;patrick.schlaepfer;18.01.2012 09:15;Notebook Abu
233;patrick.schlaepfer;Personalcomputer;1;patrick.schlaepfer;18.01.2012 09:42;RAM Testen
234;benutzer148;Lokales Netzwerk;2;bruno.peyer;18.01.2012 13:07;Kalendereintragungen im Outlook
235;supporter12;Lokales Netzwerk;1;bruno.peyer;24.01.2012 08:34;Homelaufwerk
236;benutzer186;PC-Programm;2;supporter2;25.01.2012 09:03;PC Zi 502
237;supporter2;Notenool;2;supporter5;26.01.2012 13:15;EBZ Zugriff auf Intranet
238;benutzer111;Windows;2;supporter2;26.01.2012 16:38;Zimmer 204
239;benutzer148;Windows;2;supporter12;26.01.2012 16:42;Softwarelizenzierung
240;benutzer106;Lokales Netzwerk;2;supporter2;26.01.2012 19:11;Scannerfunktion Kopiergerät SH2
241;benutzer106;PC-Programm;3;supporter12;27.01.2012 18:16;Logo GIBS auf Schulbericht
242;benutzer186;PC-Programm;1;supporter2;30.01.2012 14:47;PC Zi 502 - PC Nr. 50210
243;benutzer31;Personalcomputer;3;bruno.peyer;31.01.2012 14:50;PC-Nr. 14 und 20 starten nicht
244;benutzer31;Drucker;2;bruno.peyer;31.01.2012 14:54;Drucker staut immer noch
245;benutzer131;Mail;2;bruno.peyer;02.02.2012 17:05;fehlende Lehrpersonen  im Verteiler
246;benutzer10;PC-Programm;1;patrick.schlaepfer;02.02.2012 17:11;Software für PC's
247;supporter12;Personalcomputer;1;supporter12;08.02.2012 06:49;Dokkameras
248;supporter12;Personalcomputer;1;supporter12;08.02.2012 06:53;Notebook für Korrekturtag 28.3.2012
250;supporter12;PC-Programm;1;supporter12;08.02.2012 07:01;EBA Infotag im alten Spital 8. März
252;supporter2;Personalcomputer;1;supporter2;17.02.2012 15:23;Neuer Schulnetzclient 
253;benutzer60;Drucker;3;supporter12;18.02.2012 11:33;Power Kabel fehlt
254;benutzer141;PC-Programm;2;supporter12;20.02.2012 11:32;Drucker
255;supporter3;PC-Programm;2;supporter2;21.02.2012 11:31;Outlook web app (Zimmerreservationen KBS)
257;benutzer148;PC-Programm;2;patrick.schlaepfer;22.02.2012 14:44;softwarelizenzierung
258;benutzer148;PC-Programm;2;supporter12;22.02.2012 14:50;PCs PC-Raum Pavillon
259;benutzer12;Personalcomputer;2;patrick.schlaepfer;27.02.2012 15:39;PC Zimmer 103
260;benutzer186;Windows;2;supporter2;27.02.2012 17:09;Zi 502
261;benutzer63;PC-Programm;1;patrick.schlaepfer;28.02.2012 07:26;RagClean Pro-Meldung
262;benutzer73;Windows;3;supporter2;28.02.2012 19:38;PC startet nicht mehr
263;supporter14;Lokales Netzwerk;3;supporter10;29.02.2012 07:47;Wartezeit bei Anmeldung an Domäne
264;benutzer66;Personalcomputer;1;supporter12;29.02.2012 14:07;Monitor im Zimmer 112 in Power Safe Mode
265;benutzer111;PC-Programm;3;supporter2;29.02.2012 17:26;Zimmer 204
266;supporter2;Helpdesktool;2;supporter5;01.03.2012 11:30;Helpdesk von BBZ Grenchen
267;benutzer31;PC-Programm;3;supporter2;06.03.2012 11:44;Outlook
269;supporter12;Drucker;1;supporter12;06.03.2012 15:12;Drucker P 19
274;benutzer219;Mail;3;supporter2;06.03.2012 16:37;Webmail
275;benutzer171;Mail;1;supporter2;07.03.2012 08:14;Kein Zugang 
276;benutzer151;PC-Programm;2;supporter12;07.03.2012 14:18;PC 309-2 in ZI309
277;benutzer73;PC-Programm;3;supporter2;08.03.2012 09:47;PC nicht mehr starten
278;benutzer219;PC-Programm;2;patrick.schlaepfer;08.03.2012 16:27;PC-Raum Pavillon
279;supporter15;Drucker;2;patrick.schlaepfer;09.03.2012 08:12;Schliergt
280;benutzer67;Windows;1;patrick.schlaepfer;09.03.2012 14:07;Outlook Web App auf Notebook
281;benutzer131;Drucker;2;supporter2;12.03.2012 08:32;Farbdrucker in P14 ist offline
282;supporter15;Lokales Netzwerk;2;bruno.peyer;12.03.2012 14:15;Anmeldezeit in Grenchen
283;benutzer106;PC-Programm;2;patrick.schlaepfer;12.03.2012 14:28;PC GIS2_520_01
284;benutzer202;Windows;1;patrick.schlaepfer;13.03.2012 08:32;Echtheit dieser Windows Kopie ....
285;benutzer20;Mail;2;patrick.schlaepfer;13.03.2012 09:39;Fehlermeldung im Exchange
286;supporter5;Mail;2;supporter2;16.03.2012 16:57;Geschwindigkeit Suchen Webmail
287;supporter12;Drucker;2;supporter7;19.03.2012 07:27;Drucker 512 SH 2 
288;benutzer141;PC-Programm;3;patrick.schlaepfer;19.03.2012 09:29;PC P02
289;bruno.peyer;Windows;1;supporter12;19.03.2012 13:46;neu Aufsetzen von P02_02
290;benutzer73;PC-Programm;3;supporter2;20.03.2012 13:07;Vision Grenchen
291;benutzer91;Windows;2;bruno.peyer;20.03.2012 15:20;verm. Virus auf PC im CIS
292;benutzer148;Windows;3;patrick.schlaepfer;21.03.2012 11:20;Ungültiger Volumenlizenzschlüssel
293;benutzer60;Personalcomputer;2;supporter12;22.03.2012 12:14;Kontrast wegen Switchbox(?) ungenügend 
294;benutzer111;PC-Programm;1;supporter2;23.03.2012 10:30;Vision
295;benutzer5;Internet;1;bruno.peyer;23.03.2012 23:02;keine VPN-Verbindung möglich
296;supporter15;Drucker;1;bruno.peyer;27.03.2012 06:39;GISO_00D_P1
297;supporter15;Mail;2;supporter2;27.03.2012 11:49;Natelsynchronisation Rolf Schütz
299;benutzer172;Lokales Netzwerk;2;supporter12;27.03.2012 14:53;Zimmer 012
300;benutzer14;Lokales Netzwerk;1;supporter2;28.03.2012 10:30;Back-up Bändli
301;benutzer151;PC-Programm;2;supporter5;28.03.2012 11:47;Login / Laufwerk Klassen
302;supporter14;PC-Programm;3;bruno.peyer;02.04.2012 09:32;Webmail+Firefox
303;benutzer186;Internet;2;supporter2;02.04.2012 11:39;Video
304;benutzer73;Personalcomputer;2;supporter2;03.04.2012 09:40;PC kann nicht starten
306;benutzer180;PC-Programm;2;bruno.peyer;04.04.2012 16:42;Pavillon PC-Raum
307;supporter12;Personalcomputer;2;supporter12;05.04.2012 06:03;311 in Grenchen 
308;supporter12;Personalcomputer;2;supporter12;05.04.2012 06:04;401 Solothurn
309;supporter12;Personalcomputer;1;supporter12;05.04.2012 06:25;neue Pcs im Pavillon
310;supporter12;Personalcomputer;1;supporter12;05.04.2012 06:25;neue Pcs im ZI 010
311;supporter12;Personalcomputer;1;supporter12;05.04.2012 06:27;neue Pcs im ZI 006
312;benutzer226;Lokales Netzwerk;2;supporter2;23.04.2012 15:01;GIBS Grenchen Z307, Lehrer-PC
313;supporter12;Personalcomputer;1;patrick.schlaepfer;25.04.2012 08:36;ZI 012 
314;supporter12;Notebook;1;supporter12;25.04.2012 08:37;Ersatznotebook
315;supporter12;Personalcomputer;1;supporter12;25.04.2012 08:38;Zi 008
316;supporter5;Mail;2;bruno.peyer;25.04.2012 14:37;Mail an externe Email-Adressen
317;benutzer111;PC-Programm;3;supporter2;26.04.2012 07:15;Zimmer 204
318;benutzer73;PC-Programm;3;supporter2;26.04.2012 15:18;PC-Probleme Zimmer 309 Solothurn
319;benutzer111;PC-Programm;3;supporter2;26.04.2012 17:15;Zimmer 204
321;supporter12;Personalcomputer;1;supporter12;01.05.2012 07:11;Test Informatikzimmer
322;benutzer226;Mail;2;supporter2;02.05.2012 09:16;Mail
323;supporter15;Windows;1;bruno.peyer;02.05.2012 16:17;Ausbildung von Flavia Totti
324;supporter15;Drucker;3;bruno.peyer;02.05.2012 16:21;Drucken in den Informatikzimmern in Grenchen
325;supporter15;Helpdesktool;1;supporter5;02.05.2012 16:49;erfassen eines Callusers
326;benutzer111;PC-Programm;3;supporter2;02.05.2012 19:32;Zimmer 204
327;benutzer172;Personalcomputer;2;supporter12;03.05.2012 08:35;Zimmer 012, PC6
328;benutzer172;Personalcomputer;2;supporter12;03.05.2012 08:37;"\Stehender PC\"""""
